machine,risk_score,risk_level,action,scheduled_slot,is_anomalous
Engine-002,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-014,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-021,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-059,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-022,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-028,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-041,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-063,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-053,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-072,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-065,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-217,1.0,Service Immediately,Immediate maintenance,0.0,False
Engine-231,1.0,Service Immediately,Immediate maintenance,7.0,True
Engine-088,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-100,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-106,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-103,1.0,Service Immediately,Immediate maintenance,9.0,False
Engine-129,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-122,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-157,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-139,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-131,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-135,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-161,1.0,Service Immediately,Immediate maintenance,7.0,True
Engine-188,1.0,Service Immediately,Immediate maintenance,0.0,False
Engine-167,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-162,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-252,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-253,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-242,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-190,1.0,Service Immediately,Immediate maintenance,0.0,False
Engine-192,1.0,Service Immediately,Immediate maintenance,0.0,False
Engine-202,1.0,Service Immediately,Immediate maintenance,0.0,True
Engine-206,1.0,Service Immediately,Immediate maintenance,6.0,True
Engine-215,1.0,Service Immediately,Immediate maintenance,7.0,False
Engine-271,1.0,Service Immediately,Immediate maintenance,6.0,True
Engine-244,1.0,Service Immediately,Immediate maintenance,6.0,False
Engine-270,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-314,1.0,Service Immediately,Immediate maintenance,2.0,False
Engine-296,1.0,Service Immediately,Immediate maintenance,7.0,False
Engine-289,1.0,Service Immediately,Immediate maintenance,N/A,False
Engine-277,1.0,Service Immediately,Immediate maintenance,N/A,True
Engine-274,1.0,Service Immediately,Immediate maintenance,N/A,True
