unit_id,cycle,action_type,failure_type,cost_usd,downtime_hours,was_planned,technician_id
1,44,calibration,none,2206.97,2.9,True,TECH-001
1,71,calibration,none,2198.69,2.3,True,TECH-010
1,145,inspection,none,1393.12,2.6,True,TECH-015
1,187,calibration,none,1017.79,2.4,True,TECH-012
1,192,full_overhaul,blade_erosion,35863.84,31.9,False,TECH-003
2,45,calibration,none,2444.77,2.0,True,TECH-012
2,106,calibration,none,1020.87,2.4,True,TECH-003
2,287,full_overhaul,bearing_fault,27987.28,21.3,False,TECH-003
3,56,lubrication,none,493.74,0.9,True,TECH-013
3,119,inspection,none,1065.24,2.5,True,TECH-009
3,122,full_overhaul,bearing_fault,21377.71,18.6,False,TECH-008
3,139,calibration,none,1766.86,1.4,True,TECH-004
3,179,full_overhaul,bearing_fault,25614.59,30.5,False,TECH-001
4,11,inspection,none,793.59,2.3,True,TECH-002
4,83,lubrication,none,504.26,1.8,True,TECH-001
4,148,lubrication,none,503.19,1.7,True,TECH-005
4,189,full_overhaul,overheating,29239.56,15.4,False,TECH-006
5,194,inspection,none,661.27,2.0,True,TECH-015
5,269,full_overhaul,vibration_imbal,38810.18,10.2,False,TECH-011
6,118,inspection,none,587.65,1.2,True,TECH-006
6,135,calibration,none,1262.81,1.3,True,TECH-007
6,170,calibration,none,1251.98,3.9,True,TECH-004
6,188,full_overhaul,overheating,29701.02,14.3,False,TECH-007
7,45,lubrication,none,590.53,1.0,True,TECH-010
7,128,inspection,none,644.52,1.2,True,TECH-003
7,151,lubrication,none,342.22,1.1,True,TECH-012
7,222,calibration,none,2023.09,2.3,True,TECH-005
7,259,full_overhaul,bearing_fault,26331.23,15.0,False,TECH-011
8,150,full_overhaul,blade_erosion,60480.15,49.3,False,TECH-012
9,67,inspection,none,938.91,1.0,True,TECH-006
9,99,lubrication,none,585.86,1.2,True,TECH-013
9,132,calibration,none,983.16,3.7,True,TECH-012
9,180,full_overhaul,overheating,15083.6,7.4,False,TECH-013
9,201,full_overhaul,overheating,21279.88,19.6,False,TECH-009
10,123,inspection,none,1308.25,1.6,True,TECH-013
10,222,full_overhaul,vibration_imbal,16092.91,20.7,False,TECH-013
11,11,calibration,none,2315.85,3.2,True,TECH-015
11,159,calibration,none,2069.54,1.8,True,TECH-002
11,210,part_replacement,bearing_fault,24521.05,16.0,False,TECH-009
11,213,inspection,none,815.93,2.5,True,TECH-008
11,224,part_replacement,bearing_fault,10605.83,10.9,False,TECH-006
11,240,full_overhaul,bearing_fault,33938.82,27.6,False,TECH-008
12,39,inspection,none,621.83,2.0,True,TECH-011
12,170,full_overhaul,bearing_fault,20645.1,28.9,False,TECH-007
13,90,inspection,none,605.9,1.3,True,TECH-012
13,108,lubrication,none,443.22,1.9,True,TECH-008
13,120,part_replacement,bearing_fault,14758.83,12.8,False,TECH-002
13,157,lubrication,none,766.51,1.7,True,TECH-007
13,163,full_overhaul,bearing_fault,14386.37,33.3,False,TECH-011
14,20,lubrication,none,698.41,0.8,True,TECH-006
14,180,full_overhaul,bearing_fault,19453.94,35.3,False,TECH-012
15,11,lubrication,none,496.82,1.0,True,TECH-011
15,32,lubrication,none,327.7,0.8,True,TECH-001
15,64,calibration,none,1081.4,1.9,True,TECH-014
