unit_id,machine_type,total_cycles,production_line,max_operating_temp_c,rated_speed_rpm,crew_shift,priority_level,last_overhaul_cycle
1,Turbofan-A,192,LINE-2,531.7,7908,morning,medium,23
2,Turbofan-C,287,LINE-4,586.7,9151,night,high,84
3,Turbofan-C,179,LINE-5,527.5,8864,night,low,32
4,Turbofan-B,189,LINE-1,571.3,8537,night,medium,23
5,Turbofan-C,269,LINE-5,570.2,9047,morning,medium,43
6,Turbofan-C,188,LINE-4,520.2,9291,morning,medium,45
7,Turbofan-A,259,LINE-4,527.1,8160,morning,medium,55
8,Turbofan-C,150,LINE-1,538.4,8652,morning,medium,25
9,Turbofan-C,201,LINE-2,566.6,8946,night,low,38
10,Turbofan-A,222,LINE-2,507.8,8165,night,high,5
11,Turbofan-C,240,LINE-1,496.0,8776,morning,medium,29
12,Turbofan-C,170,LINE-5,530.0,9622,night,high,17
13,Turbofan-C,163,LINE-3,549.5,8930,night,critical,26
14,Turbofan-C,180,LINE-4,581.5,9527,night,critical,24
15,Turbofan-A,207,LINE-5,573.1,8740,night,low,10
16,Turbofan-B,209,LINE-5,536.8,8739,night,medium,30
17,Turbofan-C,276,LINE-2,531.7,8543,morning,high,46
18,Turbofan-B,195,LINE-1,504.7,9314,morning,medium,45
19,Turbofan-A,158,LINE-1,543.4,8856,afternoon,critical,39
20,Turbofan-B,234,LINE-2,546.2,8677,night,low,57
21,Turbofan-B,195,LINE-3,527.4,7876,night,medium,8
22,Turbofan-C,202,LINE-1,468.0,9788,night,medium,57
23,Turbofan-B,168,LINE-5,565.1,9265,morning,low,17
24,Turbofan-A,147,LINE-4,554.7,9087,afternoon,critical,37
25,Turbofan-A,230,LINE-2,539.5,8772,morning,critical,68
26,Turbofan-A,199,LINE-2,529.5,9077,morning,medium,5
27,Turbofan-C,156,LINE-1,574.9,9355,morning,high,25
28,Turbofan-C,165,LINE-4,516.1,9173,afternoon,high,2
29,Turbofan-C,163,LINE-5,544.0,8543,afternoon,high,28
30,Turbofan-A,194,LINE-2,548.3,8619,morning,medium,19
31,Turbofan-B,234,LINE-4,509.1,9536,afternoon,critical,48
32,Turbofan-C,191,LINE-2,527.6,8085,morning,medium,14
33,Turbofan-C,200,LINE-5,525.5,9034,night,low,47
34,Turbofan-A,195,LINE-5,521.2,9096,afternoon,medium,40
35,Turbofan-B,181,LINE-4,537.9,8713,morning,medium,1
36,Turbofan-A,158,LINE-2,486.1,8001,afternoon,high,36
37,Turbofan-A,170,LINE-3,524.1,8879,afternoon,critical,41
38,Turbofan-A,194,LINE-3,548.5,9138,morning,low,18
39,Turbofan-B,128,LINE-1,585.1,8419,morning,medium,19
40,Turbofan-B,188,LINE-4,473.3,9094,afternoon,critical,3
41,Turbofan-A,216,LINE-3,573.2,9004,night,high,63
42,Turbofan-B,196,LINE-5,543.9,9142,afternoon,medium,29
43,Turbofan-B,207,LINE-5,570.3,9717,morning,low,61
44,Turbofan-A,192,LINE-5,532.5,9022,morning,medium,5
45,Turbofan-A,158,LINE-1,617.3,8808,night,medium,44
